d w z t
9 65 6 0
9 53 6 0
9 53 6 0
9 21 6 0
9 29 6 0
9 40 6 0
9 4 6 0
9 21 6 0
9 44 3 1
9 55 4 2
82 65 5 1
82 14 4 0
82 35 5 1
82 47 5 1
82 84 4 0
85 1 4 0
85 58 4 1
85 75 4 0
85 34 0 2
85 11 4 0
85 82 4 1
85 85 4 3
85 65 4 0
42 53 2 0
42 10 5 1
42 10 5 1
42 31 2 0
42 65 5 1
42 10 5 1
42 64 5 1
42 86 5 1
42 33 5 1
42 22 2 0
42 64 5 1
42 10 5 1
42 64 2 0
42 47 2 0
42 31 2 0
42 22 2 0
42 58 5 1
42 20 5 1
42 63 2 0
42 10 5 1
99 46 4 0
99 88 4 0
99 52 4 0
99 51 4 1
99 79 1 2
99 75 4 0
99 65 4 0
99 83 4 0
72 55 4 0
72 82 4 0
72 1 4 0
72 84 4 0
72 65 4 0
72 51 4 0
72 45 4 0
72 38 4 0
72 2 4 0
72 34 4 0
72 59 4 0
72 52 4 0
72 82 4 0
72 45 4 0
72 11 4 0
60 65 4 0
60 55 4 1
60 34 4 0
60 45 4 1
60 2 4 0
60 45 4 2
60 33 4 1
60 84 4 1
18 80 0 0
18 77 0 0
18 16 0 0
18 81 0 0
18 32 1 1
18 49 0 0
18 80 0 0
18 65 0 0
18 37 0 0
18 65 4 2
18 57 0 0
18 28 0 0
18 52 0 0
18 65 0 0
18 54 0 0
18 65 0 0
18 59 0 0
18 80 0 0
18 80 0 0
18 9 0 0
18 40 0 0
18 77 0 0
18 42 0 0
18 60 0 0
18 80 0 0
8 43 5 1
8 56 5 1
8 46 4 0
8 42 5 1
8 29 5 1
8 31 5 1
8 56 5 1
8 5 5 1
8 65 6 2
8 43 5 1
8 82 6 2
8 29 6 2
8 47 5 1
8 65 5 1
21 9 1 0
21 36 1 0
21 65 1 0
21 48 1 0
21 60 1 0
21 80 1 0
21 40 1 0
21 32 1 0
21 69 1 0
21 48 1 0
21 68 1 0
21 82 1 0
21 36 1 0
21 69 1 0
21 69 1 0
21 19 1 0
21 19 1 0
21 27 1 0
21 32 1 0
21 59 1 0
21 48 1 0
21 69 1 0
21 32 1 0
21 68 1 0
21 60 1 0
21 19 1 0
21 37 1 0
21 15 1 0
21 27 1 0
21 60 1 0
21 48 1 0
21 80 1 0
21 32 1 0
21 32 1 0
21 59 1 0
21 15 1 0
21 32 1 0
21 69 1 0
21 36 1 0
21 65 1 0
21 54 1 0
21 19 1 0
21 60 1 0
21 32 1 0
21 16 1 0
68 10 4 0
68 46 4 0
68 65 4 0
67 84 4 0
67 65 4 0
67 45 4 0
67 72 4 0
58 24 3 1
58 25 5 0
58 24 3 2
58 65 5 0
58 5 5 0
58 5 5 0
58 14 4 3
58 25 5 0
58 40 5 0
58 5 5 0
58 43 5 0
58 20 3 1
58 59 4 3
58 57 3 1
58 5 3 2
0 58 4 0
0 31 3 1
0 83 4 0
0 38 4 0
0 14 4 0
0 65 4 2
0 61 3 1
0 87 5 3
0 52 4 0
0 52 4 0
107 11 4 0
107 89 4 0
107 45 4 0
107 52 4 0
107 34 4 0
107 52 4 0
107 33 4 0
107 82 4 1
107 52 4 0
107 65 4 0
5 47 5 0
5 5 5 0
5 39 5 0
5 65 5 0
5 65 5 0
5 5 5 0
97 11 6 0
97 82 4 3
97 67 0 4
97 1 4 1
97 3 6 0
97 50 6 0
97 82 4 2
97 46 4 5
97 72 6 0
97 3 6 0
97 12 6 0
97 64 6 0
97 33 4 1
97 82 6 0
97 3 6 0
97 3 6 0
97 46 4 1
97 82 6 0
97 65 6 0
17 40 0 0
17 14 0 0
17 74 0 0
17 42 0 0
17 74 0 0
17 59 0 0
17 28 0 0
17 49 0 0
17 36 0 0
17 14 0 1
17 28 0 0
17 74 0 0
17 28 0 0
17 28 0 0
17 47 0 0
17 82 0 0
17 16 0 0
17 9 0 0
17 80 0 0
17 80 0 0
17 49 0 0
17 54 0 0
17 19 0 0
17 78 0 0
17 82 0 0
17 80 0 0
17 65 0 0
17 86 0 0
17 20 0 0
17 59 0 0
17 80 0 0
17 37 0 0
79 21 6 0
79 17 6 0
79 65 6 0
79 65 6 0
79 82 6 0
79 17 6 0
79 81 6 0
79 73 6 0
79 80 6 0
79 7 6 0
79 81 6 0
79 7 6 0
79 65 6 0
79 21 6 0
79 80 6 0
79 17 6 0
79 45 6 0
79 82 6 0
79 82 6 0
36 79 1 1
36 59 1 1
36 6 1 1
36 65 1 1
36 54 1 1
36 6 1 0
36 65 6 2
36 79 1 0
36 6 1 1
36 32 1 1
36 71 1 1
36 6 1 1
36 9 1 1
36 17 1 1
36 79 1 1
36 65 1 1
36 6 1 1
36 79 1 1
36 60 1 1
36 60 1 1
36 24 1 1
36 6 1 1
71 1 4 0
71 51 4 1
71 53 4 0
71 52 4 0
71 45 4 0
71 30 4 0
71 2 4 0
71 1 4 0
71 2 4 0
71 65 4 0
71 38 4 0
71 51 4 0
71 51 4 0
71 1 4 0
26 53 3 0
26 65 3 0
26 25 3 0
26 57 3 0
26 62 3 1
103 11 4 0
103 46 4 0
103 28 6 1
103 51 4 0
103 2 4 0
103 51 4 0
103 82 4 0
103 51 4 0
103 70 4 0
103 65 4 0
103 83 4 0
55 24 3 0
55 65 3 0
55 59 3 0
55 47 3 0
55 40 3 0
55 70 3 0
55 24 3 0
55 24 3 0
55 70 3 0
55 65 3 0
55 75 3 0
55 59 3 0
55 38 3 0
55 40 3 0
55 24 3 0
55 24 3 0
55 24 3 0
55 70 3 0
55 48 3 0
55 59 3 0
55 70 3 0
55 70 3 0
55 59 3 0
55 15 7 1
59 59 3 0
59 14 0 1
59 54 0 1
59 8 3 0
59 25 3 0
59 65 0 1
59 73 0 1
52 39 6 0
52 81 6 0
52 65 6 0
52 4 6 0
52 57 6 0
52 17 6 0
52 17 6 0
52 16 6 0
52 80 6 0
52 65 6 0
