time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0005 00353 -8882.06587 0.05000 1.00000 0 0 0
    0.00 00001 0006 00338 -8748.45950 0.05000 1.00000 0 0 0
    0.00 00002 0007 00350 -8766.48673 0.05000 1.00000 0 0 0
    0.00 00003 0007 00352 -8726.23354 0.05000 1.00000 0 0 0
    0.00 00004 0007 00328 -8671.58415 0.05000 1.00000 0 0 0
    0.00 00005 0007 00337 -8668.42293 0.05000 1.00000 0 0 0
    0.00 00006 0008 00334 -8562.63977 0.05000 1.00000 0 0 0
    0.00 00007 0007 00352 -8624.28481 0.05000 1.00000 0 0 0
    0.00 00008 0007 00339 -8569.23718 0.05000 1.00000 0 0 0
    0.00 00009 0008 00337 -8581.51749 0.05000 1.00000 0 0 0
    0.00 00010 0008 00329 -8445.15728 0.05000 1.00000 0 0 0
    0.00 00011 0008 00326 -8491.27116 0.05000 1.00000 0 0 0
    0.00 00012 0008 00338 -8572.54383 0.05000 1.00000 0 0 0
    0.00 00013 0009 00334 -8487.24003 0.05000 1.00000 0 0 0
    0.00 00014 0010 00336 -8476.83828 0.05000 1.00000 0 0 0
    0.00 00015 0009 00322 -8433.28096 0.05000 1.00000 0 0 0
    0.00 00016 0010 00321 -8416.21101 0.05000 1.00000 0 0 0
    0.00 00017 0009 00322 -8429.56664 0.05000 1.00000 0 0 0
    0.00 00018 0009 00325 -8424.99896 0.05000 1.00000 0 0 0
    0.00 00019 0008 00311 -8300.85979 0.05000 1.00000 0 0 0
    0.00 00020 0008 00312 -8358.25532 0.05000 1.00000 0 0 0
    0.00 00021 0008 00307 -8294.34462 0.05000 1.00000 0 0 0
    0.00 00022 0008 00302 -8317.07945 0.05000 1.00000 0 0 0
    0.00 00023 0008 00308 -8322.16371 0.05000 1.00000 0 0 0
    0.00 00024 0008 00313 -8398.69446 0.05000 1.00000 0 0 0
    0.00 00025 0009 00309 -8342.39509 0.05000 1.00000 0 0 0
    0.00 00026 0008 00319 -8388.04538 0.05000 1.00000 0 0 0
    0.00 00027 0008 00309 -8321.61310 0.05000 1.00000 0 0 0
    0.00 00028 0009 00280 -8237.65215 0.05000 1.00000 0 0 0
    0.00 00029 0009 00281 -8265.26545 0.05000 1.00000 0 0 0
    0.00 00030 0009 00281 -8248.72769 0.05000 1.00000 0 0 0
    0.00 00031 0009 00301 -8314.81617 0.05000 1.00000 0 0 0
    0.00 00032 0009 00302 -8348.29252 0.05000 1.00000 0 0 0
    0.00 00033 0009 00298 -8267.35685 0.05000 1.00000 0 0 0
    0.00 00034 0008 00288 -8292.63432 0.05000 1.00000 0 0 0
    0.00 00035 0009 00297 -8358.43557 0.05000 1.00000 0 0 0
    0.00 00036 0008 00305 -8331.25415 0.05000 1.00000 0 0 0
    0.00 00037 0008 00305 -8267.06314 0.05000 1.00000 0 0 0
    0.00 00038 0007 00305 -8283.24290 0.05000 1.00000 0 0 0
    0.00 00039 0008 00289 -8245.19122 0.05000 1.00000 0 0 0
    0.00 00040 0008 00298 -8296.50491 0.05000 1.00000 0 0 0
    0.00 00041 0008 00289 -8230.42699 0.05000 1.00000 0 0 0
    0.00 00042 0008 00298 -8319.61545 0.05000 1.00000 0 0 0
    0.00 00043 0008 00297 -8342.12166 0.05000 1.00000 0 0 0
    0.00 00044 0008 00284 -8227.60904 0.05000 1.00000 0 0 0
    0.00 00045 0008 00289 -8232.26802 0.05000 1.00000 0 0 0
    0.00 00046 0008 00292 -8244.52435 0.05000 1.00000 0 0 0
    0.00 00047 0008 00311 -8371.32418 0.05000 1.00000 0 0 0
    0.00 00048 0008 00311 -8380.61400 0.05000 1.00000 0 0 0
    0.00 00049 0009 00308 -8361.01572 0.05000 1.00000 0 0 0
    0.00 00050 0009 00297 -8344.66638 0.05000 1.00000 0 0 0
    0.00 00051 0008 00312 -8351.82229 0.05000 1.00000 0 0 0
    0.00 00052 0008 00299 -8315.12428 0.05000 1.00000 0 0 0
    0.00 00053 0008 00293 -8255.45634 0.05000 1.00000 0 0 0
    0.00 00054 0008 00296 -8317.60827 0.05000 1.00000 0 0 0
    0.00 00055 0008 00277 -8260.57173 0.05000 1.00000 0 0 0
    0.00 00056 0008 00298 -8299.90230 0.05000 1.00000 0 0 0
    0.00 00057 0008 00324 -8389.16117 0.05000 1.00000 0 0 0
    0.00 00058 0008 00320 -8403.93891 0.05000 1.00000 0 0 0
    0.00 00059 0008 00314 -8395.60342 0.05000 1.00000 0 0 0
    0.00 00060 0008 00339 -8517.66822 0.05000 1.00000 0 0 0
    0.00 00061 0008 00328 -8483.82151 0.05000 1.00000 0 0 0
    0.00 00062 0008 00325 -8417.23075 0.05000 1.00000 0 0 0
    0.00 00063 0008 00327 -8434.20632 0.05000 1.00000 0 0 0
    0.00 00064 0009 00325 -8432.56391 0.05000 1.00000 0 0 0
