d w z t
80 26 0 0
80 16 0 0
80 30 0 0
80 45 0 0
80 20 0 0
80 11 2 1
101 12 1 0
101 16 0 1
101 46 1 0
41 7 0 0
41 24 0 1
41 20 0 0
41 39 0 0
41 22 0 0
41 24 0 1
41 20 0 0
41 22 0 1
41 1 0 2
41 47 0 2
41 39 0 2
41 20 0 0
41 20 0 0
41 47 0 0
41 20 0 1
49 38 1 0
49 38 1 0
49 41 1 0
49 17 1 1
49 38 1 0
49 38 1 0
49 9 1 0
49 41 1 0
49 38 1 0
26 3 1 0
26 27 1 0
15 17 1 0
15 36 0 1
15 38 1 2
32 16 0 0
32 16 0 0
32 37 0 0
14 20 0 0
14 39 0 0
14 20 0 0
14 39 0 1
14 12 0 1
14 16 0 0
14 39 0 0
14 33 0 0
14 39 0 1
14 47 0 1
14 20 0 0
14 31 0 0
14 40 0 0
14 41 6 2
14 20 0 0
14 20 0 0
14 16 0 1
100 24 0 1
100 2 2 0
100 2 2 0
100 10 2 0
100 47 0 1
100 18 2 0
100 31 0 1
100 31 2 0
100 18 2 0
100 24 2 0
100 21 2 0
57 49 1 0
17 16 1 3
17 31 2 0
17 32 2 0
17 26 2 0
17 24 0 1
17 25 2 0
17 32 2 0
17 17 1 3
17 31 2 2
17 27 2 0
17 31 2 0
17 30 0 1
17 31 2 2
17 16 2 0
17 34 2 0
17 32 2 0
17 25 2 0
17 33 0 1
17 11 2 0
17 32 2 0
17 24 2 0
9 44 1 0
9 37 1 0
9 3 1 0
9 17 1 0
9 23 1 0
9 49 1 1
9 3 1 0
35 7 2 0
35 31 2 0
35 7 2 0
35 7 0 2
35 31 0 1
35 7 0 1
35 31 2 0
35 31 2 0
35 25 2 0
35 32 2 0
35 12 2 0
35 7 2 0
35 7 0 3
35 14 2 0
35 40 2 0
35 31 0 3
35 30 0 3
35 31 0 3
13 20 0 0
13 47 0 0
13 39 0 0
13 20 0 0
13 20 0 0
13 47 0 0
13 20 0 0
13 16 0 0
13 31 0 0
13 31 0 0
13 47 0 0
13 47 0 0
13 25 0 0
13 26 0 0
13 24 0 0
13 20 0 0
13 47 0 0
13 47 0 0
58 1 1 1
58 17 1 0
58 16 0 2
58 41 1 0
58 24 1 0
58 1 1 0
79 36 0 2
79 27 1 1
79 43 1 0
79 12 1 0
79 12 1 1
79 46 1 1
39 39 0 1
39 30 0 1
39 11 2 2
39 30 0 1
39 32 2 2
39 30 0 1
39 30 0 0
39 32 0 0
39 7 0 1
39 16 0 1
39 24 0 1
39 30 0 1
39 30 0 1
39 24 0 0
39 33 0 0
39 24 0 0
39 45 0 1
39 24 0 0
39 24 0 1
39 30 0 0
39 35 0 1
39 24 0 1
39 39 0 0
39 30 0 1
39 39 0 1
39 24 0 1
39 11 0 0
23 30 0 0
23 30 0 4
23 28 0 3
23 39 0 2
23 26 0 1
23 30 0 1
23 26 0 1
23 35 0 0
23 35 0 1
23 11 0 4
23 3 0 0
23 26 0 0
23 35 0 1
23 11 0 1
23 11 0 4
23 39 0 0
23 24 0 4
23 30 0 0
23 48 0 2
23 26 0 0
23 30 0 1
23 45 0 1
47 24 1 1
47 28 1 0
47 3 1 0
47 28 0 2
47 24 0 2
47 24 1 1
47 33 1 1
47 17 1 1
47 24 1 0
36 20 0 2
36 7 0 1
36 20 0 2
36 35 0 0
36 30 0 2
36 14 0 0
36 22 0 1
36 35 0 0
36 39 0 0
36 7 0 0
36 7 0 2
36 24 0 0
36 48 0 0
36 40 0 2
36 40 0 3
36 40 0 2
36 39 0 2
36 42 0 1
36 7 0 0
36 1 1 4
90 0 0 0
90 23 0 0
90 20 0 0
90 0 0 0
90 0 0 0
90 23 1 1
90 20 0 0
90 23 1 1
90 20 0 0
90 12 1 1
90 20 0 0
90 0 0 0
90 20 0 0
90 20 0 0
90 20 0 0
73 18 2 0
73 31 2 0
73 48 2 0
73 21 2 0
73 27 1 1
61 7 2 0
61 7 2 1
61 6 2 0
61 34 2 0
55 17 1 1
55 1 1 0
55 1 1 1
55 24 1 0
55 1 1 0
55 20 1 0
55 17 1 0
55 24 1 0
55 1 1 2
55 21 1 0
55 24 1 0
55 1 1 3
55 24 1 0
55 1 1 1
66 43 1 0
66 12 1 0
66 12 1 1
34 17 1 0
34 15 1 1
34 37 1 1
33 48 1 0
33 37 1 0
33 41 1 0
33 37 1 0
25 3 1 2
25 16 2 1
25 24 1 2
25 32 2 0
25 17 1 2
25 24 1 2
22 45 0 3
22 39 0 2
22 45 0 2
22 45 0 0
22 25 0 0
22 12 0 2
22 39 0 2
22 45 0 2
22 39 0 3
22 39 0 0
22 22 0 4
22 22 0 3
22 26 0 2
22 22 2 5
22 39 0 0
22 33 0 2
22 39 0 2
22 39 0 2
22 49 1 1
22 39 0 3
22 48 1 6
22 39 0 3
22 34 2 5
22 45 0 2
28 39 0 0
28 11 2 2
28 24 0 0
28 30 0 0
28 39 0 0
28 29 2 2
28 3 0 1
28 29 0 0
28 29 0 0
28 24 0 0
28 24 0 1
28 24 0 0
28 11 0 0
71 46 1 0
71 43 1 0
71 24 1 0
71 2 1 0
71 47 0 1
95 43 1 0
95 9 1 0
95 9 1 0
95 18 0 1
95 18 1 2
91 24 1 0
91 17 1 0
96 10 2 0
96 10 2 0
96 10 2 0
96 10 2 0
96 45 0 1
82 38 1 0
82 9 1 0
6 31 0 3
6 31 2 2
6 31 2 2
6 24 0 3
6 2 0 1
6 6 0 0
6 24 2 2
6 6 2 2
6 13 2 2
6 13 0 3
6 26 0 3
6 30 0 1
48 37 1 0
48 46 1 0
83 4 0 0
83 45 1 1
83 45 0 0
83 45 0 0
83 45 1 1
83 47 0 0
83 36 5 2
31 12 1 0
31 2 1 0
31 31 0 1
63 28 5 0
63 46 5 0
63 4 5 0
63 36 5 0
84 47 0 1
84 36 0 0
84 12 1 2
84 46 1 2
84 18 4 3
72 44 1 0
72 27 1 0
98 35 0 0
98 35 0 0
98 7 0 0
85 12 1 0
85 49 1 0
85 34 1 0
46 28 5 0
46 24 5 0
46 24 5 0
46 49 5 0
46 28 5 0
46 24 5 0
46 28 5 0
46 28 5 0
75 40 0 0
75 41 4 1
75 5 4 1
77 17 1 1
77 13 1 1
77 48 1 1
77 16 1 2
77 15 1 0
77 43 1 1
77 15 1 0
77 43 1 1
97 15 5 0
97 16 1 1
97 12 1 1
45 12 1 0
45 45 1 1
45 34 1 2
45 27 1 1
45 46 2 3
10 30 0 0
10 32 0 0
10 11 2 1
10 20 0 0
10 20 0 0
10 29 2 1
10 32 2 1
10 30 0 2
10 26 2 1
10 29 2 1
10 39 0 0
10 30 0 0
10 30 0 2
10 39 0 2
10 31 2 1
10 24 2 1
10 32 2 1
10 14 0 2
10 30 0 0
10 32 0 0
10 29 2 1
10 11 0 0
10 29 2 1
10 16 0 2
10 20 0 2
10 20 0 3
10 20 0 0
88 47 6 0
88 43 1 1
27 17 1 0
27 26 1 0
27 43 1 0
27 36 0 1
27 9 1 0
27 44 1 0
27 44 1 0
27 36 1 0
64 43 1 0
64 20 3 1
64 36 3 1
64 4 1 0
64 43 1 0
64 4 3 1
53 24 6 0
53 19 6 0
53 41 6 0
53 41 6 0
4 32 0 0
4 22 0 0
4 30 0 0
4 26 0 0
4 43 1 1
4 49 1 1
4 43 1 1
4 8 0 0
4 45 0 0
4 49 1 2
4 39 1 1
4 45 1 1
4 45 1 1
4 24 1 2
4 24 0 0
4 11 0 0
4 24 1 1
38 39 0 0
38 20 0 0
38 18 0 0
38 7 0 0
38 30 0 0
38 48 0 0
38 21 2 1
38 26 0 0
38 7 0 0
38 21 2 1
38 48 0 0
38 20 0 0
38 45 0 0
38 45 0 0
38 39 0 0
38 14 0 0
38 24 0 0
38 24 0 0
38 20 0 0
38 39 0 0
38 30 0 0
38 39 0 0
38 30 0 0
52 11 4 0
52 42 4 0
52 42 4 0
52 42 4 0
52 31 4 0
52 20 0 1
52 1 1 2
52 42 4 0
52 31 4 0
42 0 0 1
42 45 0 0
42 3 0 0
42 0 0 0
94 42 4 0
94 47 7 1
94 48 7 1
94 44 7 1
94 48 7 1
94 49 7 1
40 34 2 0
40 7 0 1
40 22 0 1
40 20 0 1
40 20 0 2
40 20 0 1
40 21 2 0
40 22 0 1
40 39 0 1
40 24 0 1
40 32 2 0
40 39 0 1
40 31 2 0
40 39 0 1
40 22 2 0
40 21 2 0
40 22 0 1
40 22 0 1
40 22 0 1
40 7 2 0
40 31 0 1
40 39 0 1
40 39 0 1
40 6 0 1
40 39 0 1
40 47 0 1
50 12 1 0
50 15 1 0
50 33 1 0
50 33 1 1
50 37 1 0
0 37 1 0
0 44 1 1
0 16 2 2
81 4 0 0
81 43 1 1
81 16 1 1
86 12 1 0
86 9 1 1
86 13 0 2
103 9 1 0
103 12 1 1
103 49 1 2
19 24 0 1
19 39 0 1
19 45 0 1
19 22 0 0
19 31 0 0
19 39 0 1
19 30 0 1
19 14 0 0
19 47 0 0
19 31 0 0
19 24 0 0
19 11 0 1
19 30 0 1
19 31 0 1
19 3 0 1
19 32 0 0
19 39 0 1
87 20 0 0
87 24 0 0
87 45 0 0
87 44 1 1
87 28 0 0
87 4 0 0
87 16 1 2
67 46 1 0
67 44 1 0
93 20 0 0
93 31 0 0
93 24 0 0
93 24 0 0
93 16 0 0
93 24 2 1
93 32 2 2
93 4 0 0
93 16 0 0
93 33 0 0
93 16 0 0
93 11 2 2
68 27 1 0
107 36 0 0
107 24 0 0
74 31 2 0
74 10 2 0
74 26 0 1
74 39 0 1
74 31 2 0
74 25 2 0
74 11 2 0
74 10 2 0
74 30 0 1
74 31 2 0
74 39 0 1
78 42 4 0
78 20 4 0
78 42 4 0
78 31 4 0
78 31 4 0
78 42 4 0
78 20 0 1
69 12 5 0
69 5 5 0
69 36 5 0
69 15 5 0
69 5 5 0
69 36 5 0
69 27 5 0
69 36 5 0
69 28 5 0
70 9 1 1
70 9 1 0
70 3 1 1
70 9 1 1
21 22 0 1
21 30 0 1
21 11 2 2
21 21 2 2
21 39 0 1
21 22 0 0
21 21 2 2
21 31 2 2
21 26 0 1
21 20 0 0
21 17 1 3
21 26 0 1
21 39 0 1
21 21 2 2
21 22 0 1
21 22 0 1
21 24 1 3
21 30 0 1
21 22 0 1
21 22 0 0
21 21 2 2
21 24 1 4
21 31 0 1
21 22 0 1
21 26 0 1
21 30 0 1
21 39 0 0
21 34 2 2
21 39 1 3
43 17 1 0
43 2 1 0
43 49 1 0
2 24 6 0
2 21 6 0
2 8 6 0
2 31 6 0
2 8 6 0
2 24 6 0
2 24 6 0
2 21 1 1
2 21 6 0
2 8 6 0
2 24 6 0
2 21 6 0
2 41 6 0
2 8 6 0
2 41 6 0
2 8 6 0
2 21 6 0
2 25 6 0
2 8 6 0
2 20 6 0
2 40 6 0
7 16 1 0
12 25 1 2
12 48 0 0
12 42 8 1
12 39 0 0
12 7 0 0
12 7 0 0
12 22 0 0
12 14 0 0
12 31 0 0
12 20 0 0
12 20 0 0
12 20 0 0
12 16 1 2
12 17 1 2
12 20 0 0
12 31 0 0
12 31 0 0
12 20 0 0
12 7 0 0
51 6 0 0
51 12 1 1
51 20 0 0
51 6 1 1
11 30 0 0
11 40 0 0
11 25 0 0
11 20 0 0
11 33 0 2
11 20 0 0
11 29 2 1
11 32 0 2
11 32 2 1
11 20 0 0
11 20 0 0
11 29 2 1
11 31 0 0
11 32 0 0
11 26 0 0
11 20 0 0
11 20 0 0
11 20 0 0
11 34 2 1
11 40 0 0
11 29 0 0
11 24 0 0
11 33 0 0
11 30 0 0
60 47 0 1
60 43 1 0
60 9 1 0
60 45 0 1
92 20 0 0
92 20 0 0
92 44 1 1
92 43 1 1
92 24 1 1
92 31 2 2
92 31 0 0
92 31 1 3
92 21 1 1
92 9 1 4
92 12 1 1
92 24 1 1
92 24 2 2
89 5 4 0
89 47 4 0
89 49 4 0
89 42 4 0
89 41 4 0
20 39 0 0
20 39 0 0
20 3 0 0
20 21 1 1
20 24 0 3
20 32 0 0
20 39 0 0
