d w z t
54 36 5 1
54 38 8 0
54 38 8 0
85 49 9 1
85 12 5 0
85 34 9 1
88 47 5 0
88 43 5 1
1 39 4 1
1 7 6 0
1 39 4 1
1 31 6 0
1 8 6 0
1 31 6 0
1 8 6 0
1 45 3 2
1 13 6 0
1 13 6 0
1 45 3 2
1 39 3 2
1 8 6 0
1 20 6 0
1 31 6 0
7 16 8 0
68 27 5 0
64 4 5 0
64 43 5 0
64 4 5 0
64 36 5 0
64 20 6 1
64 43 5 0
70 9 5 1
70 3 7 2
70 9 6 0
70 9 5 1
31 31 2 0
31 2 2 0
31 12 5 1
105 4 5 0
105 34 9 1
105 27 9 1
35 25 3 1
35 31 2 2
35 7 3 1
35 7 3 1
35 31 2 2
35 31 1 0
35 7 3 1
35 31 2 2
35 31 2 2
35 40 2 2
35 30 3 1
35 14 3 1
35 32 2 2
35 12 3 1
35 7 3 1
35 7 3 1
35 7 3 1
35 31 2 2
103 9 5 1
103 49 0 0
103 12 5 1
15 17 8 0
15 38 8 0
15 36 8 0
94 48 8 0
94 42 8 0
94 48 8 0
94 49 8 0
94 47 8 0
94 44 8 0
86 12 5 0
86 9 5 0
86 13 5 0
84 12 5 0
84 46 5 0
84 36 5 0
84 18 5 0
84 47 5 0
19 31 2 1
19 32 0 0
19 39 0 0
19 24 0 0
19 39 0 0
19 47 2 1
19 22 0 0
19 30 0 0
19 45 0 0
19 3 0 0
19 14 0 0
19 39 0 0
19 24 0 0
19 11 0 0
19 30 0 0
19 31 2 1
19 31 2 1
89 5 7 0
89 49 5 1
89 42 7 0
89 47 7 0
89 41 7 0
27 44 5 0
27 36 5 0
27 26 8 1
27 9 5 0
27 43 8 2
27 44 8 2
27 36 8 2
27 17 8 1
47 24 4 0
47 24 4 0
47 28 4 0
47 17 4 0
47 24 4 0
47 33 4 0
47 28 4 0
47 3 4 0
47 24 4 0
66 12 5 0
66 12 5 0
66 43 5 0
106 9 5 0
106 4 5 0
106 38 8 1
106 47 5 0
106 9 5 0
106 45 5 0
106 44 5 0
90 23 1 0
90 20 1 0
90 20 1 0
90 20 1 0
90 0 1 0
90 23 1 0
90 0 1 0
90 20 1 0
90 20 1 1
90 0 1 0
90 0 1 0
90 23 1 0
90 12 1 0
90 20 1 0
90 20 1 0
73 27 6 1
73 18 5 2
73 48 0 0
73 21 6 1
73 31 6 1
36 39 3 0
36 24 3 0
36 1 3 0
36 40 3 0
36 14 3 0
36 7 3 0
36 40 2 1
36 7 3 0
36 42 3 0
36 35 3 0
36 7 3 0
36 20 3 0
36 40 3 0
