d w z t
38 14 2 1
38 39 3 3
38 30 3 0
38 7 2 2
38 20 2 2
38 39 3 0
38 18 3 0
38 20 2 2
38 39 3 0
38 45 3 0
38 20 2 2
38 48 2 2
38 30 3 0
38 48 2 2
38 39 3 0
38 7 2 2
38 24 2 2
38 45 3 0
38 21 3 3
38 26 3 0
38 30 0 4
38 21 3 0
38 24 0 4
51 6 2 0
51 20 2 0
51 12 2 0
51 6 2 0
104 36 5 1
104 3 4 0
104 45 5 1
104 46 5 1
104 32 3 2
104 41 4 0
104 13 5 1
104 2 2 3
9 44 5 1
9 23 4 0
9 37 4 0
9 3 4 0
9 3 4 0
9 17 4 0
9 49 5 1
30 47 2 0
30 24 2 0
30 6 2 0
30 47 5 1
58 17 4 0
58 24 4 0
58 16 4 0
58 41 4 0
58 1 4 0
58 1 4 0
107 24 4 0
107 36 5 1
73 18 6 0
73 27 6 0
73 21 6 0
73 48 3 1
73 31 6 0
61 6 2 1
61 7 2 0
61 34 2 0
61 7 2 0
84 18 8 1
84 12 5 0
84 47 5 0
84 36 5 0
84 46 5 0
45 12 5 0
45 45 5 0
45 46 5 0
45 27 5 0
45 34 5 0
108 3 4 0
108 24 3 1
105 27 5 0
105 34 5 0
105 4 5 0
59 19 8 0
59 19 8 0
59 19 8 0
59 19 8 0
59 6 8 0
59 46 8 0
59 24 8 0
59 16 8 0
59 19 8 0
59 19 8 0
31 12 5 0
31 2 5 0
31 31 2 1
41 20 2 2
41 1 4 1
41 39 2 0
41 47 2 0
41 22 2 0
41 24 4 1
41 20 2 0
41 47 2 0
41 24 2 0
41 20 2 0
41 20 2 0
41 7 2 0
41 39 2 0
41 20 2 0
41 22 2 0
67 46 5 0
67 44 5 0
32 37 4 0
32 16 4 0
32 16 4 0
106 45 5 0
106 44 5 0
106 9 5 0
106 4 5 0
106 47 5 0
106 38 5 0
106 9 5 0
55 1 4 0
55 24 4 0
55 1 4 0
55 17 4 2
55 24 4 0
55 24 4 0
55 1 4 0
55 20 2 1
55 1 4 0
55 17 4 0
55 1 4 0
55 1 4 0
55 24 4 0
55 21 4 0
0 44 1 0
0 37 4 1
0 16 1 0
20 39 3 0
20 30 3 0
20 39 3 0
20 32 0 2
20 39 3 0
20 41 4 1
20 32 3 0
20 3 3 0
20 39 3 0
20 39 3 0
20 21 3 0
20 21 3 0
20 21 3 0
20 24 3 0
20 31 2 3
53 19 4 0
53 41 4 0
53 41 4 0
53 24 4 1
26 27 5 0
26 3 4 1
97 15 4 0
97 16 4 0
97 12 5 1
12 48 2 0
12 20 2 0
12 31 2 0
12 39 2 1
12 17 4 2
12 7 2 0
12 42 2 0
12 20 2 0
12 20 2 0
12 16 4 2
12 20 2 0
12 25 2 0
12 7 2 0
12 31 2 0
12 7 2 0
12 22 2 0
12 31 2 0
12 20 2 0
12 14 2 0
66 12 5 0
66 43 5 0
66 12 5 0
39 24 0 0
39 24 0 0
39 39 0 0
39 30 0 0
39 45 0 0
39 32 0 0
39 32 0 0
39 30 0 0
39 24 0 0
39 30 0 0
39 30 0 0
39 24 0 0
39 35 0 0
39 30 0 0
39 30 0 0
39 11 0 0
39 24 0 0
39 39 0 0
39 24 0 0
39 24 0 0
39 30 0 0
39 7 0 0
39 11 0 0
39 16 4 1
39 30 0 0
39 33 0 0
39 39 0 0
62 38 5 0
72 27 5 0
72 44 5 0
98 7 2 0
98 35 2 0
98 35 2 0
56 42 5 0
86 12 5 0
86 13 5 0
86 9 5 1
22 39 3 0
22 12 6 1
22 33 6 1
22 39 3 0
22 49 3 0
22 39 3 0
22 22 3 0
22 39 3 0
22 26 3 0
22 25 3 0
22 39 3 0
22 45 3 0
22 39 3 0
22 45 3 0
22 39 3 0
22 48 3 0
22 22 3 0
22 34 3 0
22 39 3 0
22 45 3 0
22 45 3 0
22 39 3 0
22 45 3 0
22 22 3 0
85 12 5 0
85 49 5 0
85 34 9 1
46 24 4 2
46 24 4 2
46 49 5 3
46 28 4 0
46 28 4 1
46 24 4 0
46 28 4 1
46 28 4 4
50 37 4 0
50 33 4 0
50 33 4 0
50 15 4 0
50 12 2 1
36 7 2 0
36 7 2 1
36 14 2 0
36 7 2 0
36 40 2 0
36 39 2 0
36 35 2 0
36 39 2 0
36 40 2 0
36 24 2 0
36 42 2 0
36 22 2 0
36 1 4 2
36 48 2 1
36 7 2 0
36 30 2 0
36 35 2 0
36 20 2 0
36 40 2 0
36 20 2 0
102 32 5 0
102 12 5 0
102 9 5 0
35 14 2 0
35 32 2 0
35 7 2 0
35 12 2 0
35 30 2 0
35 7 2 0
35 31 2 0
35 7 2 0
35 31 2 0
35 31 2 0
35 7 2 0
35 7 2 0
35 25 2 0
35 7 2 0
35 31 2 0
35 31 2 0
35 31 2 0
35 40 2 0
11 20 2 1
11 32 0 0
11 24 2 1
11 30 0 0
11 32 2 1
11 32 0 0
11 30 0 0
11 29 0 0
11 34 2 1
11 29 0 2
11 20 2 1
11 31 2 1
11 25 2 1
11 20 2 1
11 20 2 1
11 26 2 1
11 20 2 1
11 33 2 1
11 33 0 0
11 40 2 1
11 20 2 1
11 20 2 1
11 40 2 1
11 29 0 0
63 46 4 1
63 28 4 1
63 36 5 0
63 4 5 0
68 27 5 0
60 47 5 1
60 45 5 0
60 43 5 1
60 9 5 1
43 2 5 0
43 17 4 1
43 49 5 0
16 0 1 1
16 20 1 1
16 37 4 0
16 17 4 0
15 36 5 0
15 38 5 0
15 17 4 1
76 20 1 0
76 20 1 0
76 20 1 0
76 20 1 0
76 0 1 0
76 23 1 0
76 0 1 0
76 20 1 0
76 12 1 0
76 20 1 0
76 0 1 0
76 16 1 0
76 23 1 0
76 20 1 0
76 0 1 0
76 23 1 0
5 20 1 0
5 37 4 1
96 10 9 0
96 10 9 0
96 10 9 0
96 45 5 1
96 10 9 0
24 20 2 2
24 47 8 1
24 10 8 1
24 10 9 0
24 41 4 3
24 47 2 2
24 34 9 0
24 16 8 1
24 49 9 0
24 15 9 0
24 31 2 2
24 20 2 2
24 10 2 2
24 47 2 2
24 31 2 2
24 47 2 2
24 30 2 2
24 10 9 0
52 42 2 0
52 11 2 1
52 1 2 0
52 42 2 0
52 42 2 1
52 31 2 0
52 20 2 1
52 42 2 1
52 31 2 1
79 12 5 0
79 43 5 0
79 12 5 0
79 46 5 0
79 27 5 0
79 36 5 0
101 12 5 0
101 46 5 0
101 16 4 1
94 44 5 0
94 42 5 0
94 48 6 1
94 48 6 1
94 49 5 0
94 47 5 0
18 33 6 1
18 24 2 0
18 34 2 0
18 20 2 0
18 20 2 0
18 11 2 0
18 31 2 0
18 31 2 0
18 17 5 2
18 39 2 0
18 31 2 0
18 20 2 0
18 31 2 0
18 30 2 0
18 25 2 0
18 31 2 0
18 32 2 0
18 22 2 0
33 48 2 1
33 41 6 0
33 37 6 0
33 37 6 0
1 13 5 2
1 20 2 1
1 8 7 0
1 8 7 0
1 31 2 1
1 39 7 0
1 31 6 3
1 45 7 0
1 45 7 0
1 31 7 0
1 8 7 0
1 7 2 1
1 39 2 1
1 39 2 1
1 13 7 0
81 43 5 0
81 16 6 1
81 4 5 0
89 49 5 0
89 42 5 0
89 5 5 0
89 47 5 0
89 41 8 1
64 43 5 2
64 20 2 0
64 36 5 1
64 4 5 1
64 43 5 3
64 4 5 3
29 24 4 0
29 12 4 0
29 41 4 0
29 6 2 2
29 43 6 1
29 49 5 3
44 3 4 0
44 3 4 0
44 20 2 1
34 17 4 0
34 37 4 1
34 15 4 2
49 9 10 0
49 17 10 0
49 41 10 0
49 38 10 0
49 38 10 0
49 38 10 0
49 41 10 0
49 38 10 0
49 38 10 0
82 9 5 0
82 38 5 0
23 28 0 0
23 30 0 0
23 26 0 0
23 45 0 0
23 39 0 0
23 30 0 0
23 35 0 0
23 24 0 0
23 26 0 0
23 39 0 0
23 26 0 0
23 30 0 0
23 48 0 0
23 30 0 0
23 35 0 0
23 3 0 0
23 11 0 0
23 30 0 0
23 26 0 0
23 11 0 0
23 11 0 0
23 35 0 0
37 14 2 0
37 48 2 0
37 20 2 0
37 31 2 0
37 20 2 0
37 39 2 0
37 14 2 0
37 17 4 1
37 24 4 2
37 48 2 0
37 48 2 0
37 39 2 0
37 39 2 0
37 39 2 0
37 7 2 0
37 24 4 2
37 48 2 0
78 42 2 0
78 31 2 1
78 20 2 0
78 20 2 0
78 42 5 2
78 42 2 0
78 31 2 1
100 24 6 0
100 47 5 1
100 24 6 0
100 31 6 0
100 18 6 0
100 21 6 0
100 18 5 1
100 10 6 0
100 31 6 0
100 2 6 0
100 2 6 0
3 41 7 0
3 31 7 0
3 31 6 1
3 8 7 0
3 13 7 0
3 21 7 0
3 25 7 0
3 8 7 0
3 8 7 0
3 20 7 0
3 8 7 0
87 44 4 0
87 16 4 0
87 20 2 1
87 4 4 0
87 24 4 2
87 45 5 3
87 28 4 0
65 27 5 0
65 15 4 1
65 28 4 1
65 36 4 1
65 5 5 0
65 5 5 0
65 36 5 0
65 36 5 0
65 12 5 0
42 0 1 0
42 3 4 1
42 45 1 0
42 0 1 0
13 20 2 0
13 47 2 0
13 20 2 0
13 47 2 0
13 26 2 0
13 20 2 0
13 16 2 0
13 31 2 0
13 47 2 0
13 25 2 0
13 20 2 0
13 31 2 0
13 47 2 0
13 20 2 0
13 47 2 0
13 47 2 0
13 39 2 0
13 24 2 0
6 31 6 0
6 2 6 0
6 30 3 2
6 26 6 0
6 31 6 0
6 6 6 0
6 13 6 0
6 24 6 0
6 24 3 2
6 13 3 1
6 31 6 0
6 6 6 0
74 10 2 0
74 31 2 0
74 31 2 0
74 39 2 0
74 25 2 0
74 31 2 0
74 10 2 0
74 39 2 0
74 30 2 0
74 26 2 0
74 11 2 0
71 46 5 1
71 47 5 1
71 24 6 0
71 43 5 1
71 2 5 1
14 20 2 0
14 12 2 0
14 20 2 2
14 39 2 0
14 20 2 1
14 20 2 0
14 39 2 0
14 39 2 0
14 16 8 3
14 16 4 4
14 39 2 0
14 47 8 3
14 33 2 0
14 31 2 0
14 41 4 4
14 20 2 0
14 40 2 0
91 17 4 0
91 24 4 0
75 41 4 1
75 40 2 0
75 5 5 2
88 43 5 0
88 47 5 1
99 9 5 0
99 13 5 1
99 13 5 1
99 13 5 0
99 5 5 1
99 27 5 1
99 13 5 0
99 9 5 1
99 49 5 1
4 26 0 0
4 24 0 0
4 24 0 0
4 43 5 1
4 49 5 2
4 39 0 0
4 32 0 0
4 43 5 2
4 49 5 4
4 30 3 3
4 8 0 0
4 45 3 3
4 11 0 0
4 45 3 3
4 22 3 3
4 24 0 0
4 45 3 3
8 15 4 0
8 20 2 1
8 41 4 0
8 33 4 0
8 41 4 0
69 28 4 1
69 12 5 0
69 15 5 0
69 5 5 0
69 36 5 0
69 27 5 0
69 5 5 0
69 36 5 0
69 36 5 0
95 43 5 1
95 9 5 0
95 18 5 1
95 18 5 0
95 9 5 1
40 39 3 0
40 7 3 0
40 32 3 0
40 31 2 1
40 39 3 0
40 21 3 0
40 34 3 0
40 22 3 0
40 20 2 1
40 47 2 1
40 20 2 1
40 31 2 1
40 39 2 1
40 22 3 0
40 22 3 0
40 22 3 0
40 21 3 0
40 39 3 0
40 7 2 1
40 20 2 1
