time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0009 00263 -4264.52741 1.00000 1.00000 0 0 0
    0.00 00001 0009 00265 -4238.24607 1.00000 1.00000 0 0 0
    0.00 00002 0010 00243 -4160.57705 1.00000 1.00000 0 0 0
    0.00 00003 0012 00239 -4106.74843 1.00000 1.00000 0 0 0
    0.00 00004 0010 00253 -4148.90831 1.00000 1.00000 0 0 0
    0.00 00005 0010 00249 -4118.22896 1.00000 1.00000 0 0 0
    0.00 00006 0010 00238 -4031.46633 1.00000 1.00000 0 0 0
    0.00 00007 0011 00245 -4071.90465 1.00000 1.00000 0 0 0
    0.00 00008 0011 00228 -4039.33892 1.00000 1.00000 0 0 0
    0.00 00009 0013 00232 -4010.92951 1.00000 1.00000 0 0 0
    0.00 00010 0014 00245 -4083.14521 1.00000 1.00000 0 0 0
    0.00 00011 0011 00246 -4133.25554 1.00000 1.00000 0 0 0
    0.00 00012 0012 00232 -4045.06641 1.00000 1.00000 0 0 0
    0.00 00013 0013 00234 -4060.25820 1.00000 1.00000 0 0 0
    0.00 00014 0011 00226 -4030.46855 1.00000 1.00000 0 0 0
    0.00 00015 0015 00231 -4044.82985 1.00000 1.00000 0 0 0
    0.00 00016 0013 00217 -3986.39958 1.00000 1.00000 0 0 0
    0.00 00017 0010 00234 -3968.56944 1.00000 1.00000 0 0 0
    0.00 00018 0011 00237 -3999.38242 1.00000 1.00000 0 0 0
    0.00 00019 0011 00225 -3980.97472 1.00000 1.00000 0 0 0
    0.00 00020 0016 00240 -4088.76498 1.00000 1.00000 0 0 0
    0.00 00021 0014 00238 -4107.25148 1.00000 1.00000 0 0 0
    0.00 00022 0015 00236 -4094.74757 1.00000 1.00000 0 0 0
    0.00 00023 0015 00230 -4085.09849 1.00000 1.00000 0 0 0
    0.00 00024 0014 00221 -4014.68173 1.00000 1.00000 0 0 0
    0.00 00025 0013 00218 -4009.96530 1.00000 1.00000 0 0 0
    0.00 00026 0013 00226 -4012.18890 1.00000 1.00000 0 0 0
    0.00 00027 0013 00227 -4014.82894 1.00000 1.00000 0 0 0
    0.00 00028 0014 00211 -3919.34235 1.00000 1.00000 0 0 0
    0.00 00029 0013 00220 -4024.40157 1.00000 1.00000 0 0 0
    0.00 00030 0013 00225 -3963.85521 1.00000 1.00000 0 0 0
    0.00 00031 0014 00221 -3952.91704 1.00000 1.00000 0 0 0
    0.00 00032 0014 00232 -4099.94971 1.00000 1.00000 0 0 0
    0.00 00033 0015 00227 -4059.49023 1.00000 1.00000 0 0 0
    0.00 00034 0013 00228 -4054.47404 1.00000 1.00000 0 0 0
    0.00 00035 0014 00240 -4100.50491 1.00000 1.00000 0 0 0
    0.00 00036 0013 00232 -4065.76999 1.00000 1.00000 0 0 0
    0.00 00037 0012 00240 -4093.74477 1.00000 1.00000 0 0 0
    0.00 00038 0014 00218 -3985.83662 1.00000 1.00000 0 0 0
    0.00 00039 0011 00222 -3932.70411 1.00000 1.00000 0 0 0
    0.00 00040 0012 00242 -4043.85219 1.00000 1.00000 0 0 0
    0.00 00041 0011 00225 -3990.32146 1.00000 1.00000 0 0 0
    0.00 00042 0011 00244 -4045.37885 1.00000 1.00000 0 0 0
    0.00 00043 0011 00241 -4087.17075 1.00000 1.00000 0 0 0
    0.00 00044 0013 00232 -4047.07786 1.00000 1.00000 0 0 0
    0.00 00045 0015 00234 -4098.63008 1.00000 1.00000 0 0 0
    0.00 00046 0014 00240 -4153.67361 1.00000 1.00000 0 0 0
    0.00 00047 0013 00254 -4149.63676 1.00000 1.00000 0 0 0
    0.00 00048 0014 00225 -4047.85790 1.00000 1.00000 0 0 0
    0.00 00049 0014 00229 -4066.59189 1.00000 1.00000 0 0 0
    0.00 00050 0012 00231 -4091.01142 1.00000 1.00000 0 0 0
    0.00 00051 0012 00245 -4115.03477 1.00000 1.00000 0 0 0
    0.00 00052 0011 00220 -3989.18753 1.00000 1.00000 0 0 0
    0.00 00053 0012 00215 -3976.57342 1.00000 1.00000 0 0 0
    0.00 00054 0011 00231 -4016.30900 1.00000 1.00000 0 0 0
    0.00 00055 0012 00233 -4039.34848 1.00000 1.00000 0 0 0
    0.00 00056 0011 00238 -4065.57272 1.00000 1.00000 0 0 0
    0.00 00057 0010 00231 -4040.13676 1.00000 1.00000 0 0 0
    0.00 00058 0010 00234 -4023.53787 1.00000 1.00000 0 0 0
    0.00 00059 0010 00228 -3969.91293 1.00000 1.00000 0 0 0
    0.00 00060 0010 00218 -3929.17077 1.00000 1.00000 0 0 0
    0.00 00061 0010 00230 -3940.28363 1.00000 1.00000 0 0 0
    0.00 00062 0011 00236 -3965.53449 1.00000 1.00000 0 0 0
    0.00 00063 0010 00235 -3895.84832 1.00000 1.00000 0 0 0
    0.00 00064 0011 00235 -3896.38521 1.00000 1.00000 0 0 0
    0.00 00065 0010 00225 -3897.02911 1.00000 1.00000 0 0 0
    0.00 00066 0014 00231 -3966.62832 1.00000 1.00000 0 0 0
    0.00 00067 0014 00228 -3963.69171 1.00000 1.00000 0 0 0
    0.00 00068 0012 00241 -3962.93995 1.00000 1.00000 0 0 0
    0.00 00069 0013 00222 -3945.32021 1.00000 1.00000 0 0 0
    0.00 00070 0013 00233 -3994.14070 1.00000 1.00000 0 0 0
    0.00 00071 0011 00217 -3970.18629 1.00000 1.00000 0 0 0
    0.00 00072 0011 00216 -3947.50618 1.00000 1.00000 0 0 0
    0.00 00073 0012 00219 -3978.85989 1.00000 1.00000 0 0 0
    0.00 00074 0012 00225 -3987.04052 1.00000 1.00000 0 0 0
    0.00 00075 0012 00230 -4010.60141 1.00000 1.00000 0 0 0
    0.00 00076 0014 00229 -3976.31410 1.00000 1.00000 0 0 0
    0.00 00077 0011 00231 -3993.26191 1.00000 1.00000 0 0 0
    0.00 00078 0011 00245 -4045.39036 1.00000 1.00000 0 0 0
    0.00 00079 0013 00241 -4001.11688 1.00000 1.00000 0 0 0
    0.00 00080 0014 00222 -3937.09283 1.00000 1.00000 0 0 0
    0.00 00081 0013 00222 -3942.94143 1.00000 1.00000 0 0 0
    0.00 00082 0013 00228 -4000.30194 1.00000 1.00000 0 0 0
    0.00 00083 0013 00231 -4013.06007 1.00000 1.00000 0 0 0
    0.00 00084 0012 00229 -3970.94663 1.00000 1.00000 0 0 0
    0.00 00085 0013 00243 -4032.72376 1.00000 1.00000 0 0 0
    0.00 00086 0012 00235 -4007.96752 1.00000 1.00000 0 0 0
    0.00 00087 0012 00232 -4039.09857 1.00000 1.00000 0 0 0
    0.00 00088 0011 00231 -4039.01581 1.00000 1.00000 0 0 0
    0.00 00089 0011 00231 -4033.60803 1.00000 1.00000 0 0 0
    0.00 00090 0012 00223 -4072.16812 1.00000 1.00000 0 0 0
    0.00 00091 0013 00226 -4015.42431 1.00000 1.00000 0 0 0
    0.00 00092 0015 00232 -4054.65090 1.00000 1.00000 0 0 0
    0.00 00093 0015 00221 -3987.95314 1.00000 1.00000 0 0 0
    0.00 00094 0012 00232 -4011.60202 1.00000 1.00000 0 0 0
    0.00 00095 0011 00237 -4080.04727 1.00000 1.00000 0 0 0
    0.00 00096 0012 00233 -4088.63600 1.00000 1.00000 0 0 0
    0.00 00097 0013 00238 -4083.07626 1.00000 1.00000 0 0 0
    0.00 00098 0015 00224 -4015.85782 1.00000 1.00000 0 0 0
    0.00 00099 0015 00226 -4056.17623 1.00000 1.00000 0 0 0
    0.00 00100 0017 00243 -4108.91867 1.00000 1.00000 0 0 0
    1.00 00101 0017 00228 -4106.60824 1.00000 1.00000 0 0 0
    1.00 00102 0018 00245 -4141.25030 1.00000 1.00000 0 0 0
    1.00 00103 0016 00238 -4134.62072 1.00000 1.00000 0 0 0
    1.00 00104 0013 00223 -4044.71095 1.00000 1.00000 0 0 0
    1.00 00105 0014 00230 -4040.71328 1.00000 1.00000 0 0 0
    1.00 00106 0016 00224 -4028.72762 1.00000 1.00000 0 0 0
    1.00 00107 0013 00251 -4101.56205 1.00000 1.00000 0 0 0
    1.00 00108 0015 00232 -4073.99611 1.00000 1.00000 0 0 0
    1.00 00109 0014 00243 -4167.71573 1.00000 1.00000 0 0 0
    1.00 00110 0013 00241 -4161.79589 1.00000 1.00000 0 0 0
    1.00 00111 0013 00244 -4127.28411 1.00000 1.00000 0 0 0
    1.00 00112 0012 00228 -4076.87316 1.00000 1.00000 0 0 0
    1.00 00113 0011 00227 -4017.76539 1.00000 1.00000 0 0 0
    1.00 00114 0011 00236 -4036.85805 1.00000 1.00000 0 0 0
    1.00 00115 0011 00233 -3996.24630 1.00000 1.00000 0 0 0
    1.00 00116 0013 00239 -4091.51715 1.00000 1.00000 0 0 0
    1.00 00117 0013 00243 -4048.44971 1.00000 1.00000 0 0 0
    1.00 00118 0016 00232 -4067.94235 1.00000 1.00000 0 0 0
    1.00 00119 0016 00244 -4121.87273 1.00000 1.00000 0 0 0
    1.00 00120 0012 00232 -4047.95818 1.00000 1.00000 0 0 0
    1.00 00121 0012 00241 -4039.15700 1.00000 1.00000 0 0 0
    1.00 00122 0013 00225 -4068.86217 1.00000 1.00000 0 0 0
    1.00 00123 0012 00233 -4063.38602 1.00000 1.00000 0 0 0
    1.00 00124 0012 00225 -4001.48562 1.00000 1.00000 0 0 0
    1.00 00125 0012 00248 -4128.91281 1.00000 1.00000 0 0 0
    1.00 00126 0012 00236 -4040.96155 1.00000 1.00000 0 0 0
    1.00 00127 0012 00235 -4059.49578 1.00000 1.00000 0 0 0
    1.00 00128 0012 00229 -4040.60356 1.00000 1.00000 0 0 0
    1.00 00129 0012 00230 -4063.08152 1.00000 1.00000 0 0 0
    1.00 00130 0012 00234 -3965.86991 1.00000 1.00000 0 0 0
    1.00 00131 0012 00233 -4069.55226 1.00000 1.00000 0 0 0
    1.00 00132 0015 00227 -4011.97546 1.00000 1.00000 0 0 0
    1.00 00133 0012 00229 -4038.10589 1.00000 1.00000 0 0 0
    1.00 00134 0012 00218 -3972.19277 1.00000 1.00000 0 0 0
    1.00 00135 0011 00215 -3938.52874 1.00000 1.00000 0 0 0
    1.00 00136 0012 00221 -3942.34242 1.00000 1.00000 0 0 0
    1.00 00137 0015 00235 -4059.61789 1.00000 1.00000 0 0 0
    1.00 00138 0014 00233 -4010.03186 1.00000 1.00000 0 0 0
    1.00 00139 0014 00220 -3969.09572 1.00000 1.00000 0 0 0
    1.00 00140 0013 00228 -4012.63551 1.00000 1.00000 0 0 0
