time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0003 00181 -1205.98801 0.10000 0.94000 0 0 0
    0.00 00001 0003 00173 -1152.31588 0.10000 0.94000 0 0 0
    0.00 00002 0003 00172 -1139.41906 0.10000 0.94000 0 0 0
    0.00 00003 0003 00177 -1131.63890 0.10000 0.94000 0 0 0
    0.00 00004 0003 00172 -1113.81152 0.10000 0.94000 0 0 0
    0.00 00005 0003 00167 -1109.15018 0.10000 0.94000 0 0 0
    0.00 00006 0003 00168 -1133.66768 0.10000 0.94000 0 0 0
    0.00 00007 0003 00177 -1133.82727 0.10000 0.94000 0 0 0
    0.00 00008 0004 00171 -1124.35097 0.10000 0.94000 0 0 0
    0.00 00009 0004 00179 -1154.14383 0.10000 0.94000 0 0 0
    0.00 00010 0004 00182 -1164.51667 0.10000 0.94000 0 0 0
    0.00 00011 0003 00176 -1157.90577 0.10000 0.94000 0 0 0
    0.00 00012 0003 00183 -1159.45572 0.10000 0.94000 0 0 0
    0.00 00013 0003 00179 -1145.48992 0.10000 0.94000 0 0 0
    0.00 00014 0003 00193 -1153.29660 0.10000 0.94000 0 0 0
    0.00 00015 0003 00187 -1153.26188 0.10000 0.94000 0 0 0
    0.00 00016 0004 00189 -1168.95618 0.10000 0.94000 0 0 0
    0.00 00017 0004 00178 -1150.09053 0.10000 0.94000 0 0 0
    0.00 00018 0003 00175 -1139.80053 0.10000 0.94000 0 0 0
    0.00 00019 0003 00169 -1127.36731 0.10000 0.94000 0 0 0
    0.00 00020 0003 00181 -1155.32002 0.10000 0.94000 0 0 0
    0.00 00021 0003 00184 -1161.78363 0.10000 0.94000 0 0 0
    0.00 00022 0003 00179 -1133.89034 0.10000 0.94000 0 0 0
    0.00 00023 0003 00180 -1115.22712 0.10000 0.94000 0 0 0
    0.00 00024 0004 00185 -1136.56950 0.10000 0.94000 0 0 0
    0.00 00025 0003 00169 -1088.97558 0.10000 0.94000 0 0 0
    0.00 00026 0003 00184 -1102.14100 0.10000 0.94000 0 0 0
    0.00 00027 0002 00183 -1126.30421 0.10000 0.94000 0 0 0
    0.00 00028 0003 00178 -1142.50070 0.10000 0.94000 0 0 0
    0.00 00029 0003 00177 -1139.82626 0.10000 0.94000 0 0 0
    0.00 00030 0003 00188 -1155.01432 0.10000 0.94000 0 0 0
    0.00 00031 0003 00181 -1126.42407 0.10000 0.94000 0 0 0
    0.00 00032 0003 00180 -1135.27793 0.10000 0.94000 0 0 0
    0.00 00033 0002 00184 -1132.81274 0.10000 0.94000 0 0 0
    0.00 00034 0002 00170 -1114.93295 0.10000 0.94000 0 0 0
    0.00 00035 0002 00179 -1133.19195 0.10000 0.94000 0 0 0
    0.00 00036 0003 00194 -1147.31563 0.10000 0.94000 0 0 0
    0.00 00037 0003 00194 -1166.14778 0.10000 0.94000 0 0 0
    0.00 00038 0003 00196 -1167.48243 0.10000 0.94000 0 0 0
    0.00 00039 0003 00189 -1155.56918 0.10000 0.94000 0 0 0
    0.00 00040 0003 00198 -1144.45444 0.10000 0.94000 0 0 0
    0.00 00041 0003 00186 -1145.63466 0.10000 0.94000 0 0 0
    0.00 00042 0004 00182 -1155.39051 0.10000 0.94000 0 0 0
    0.00 00043 0004 00175 -1172.57225 0.10000 0.94000 0 0 0
    0.00 00044 0004 00188 -1168.52178 0.10000 0.94000 0 0 0
    0.00 00045 0004 00182 -1147.99182 0.10000 0.94000 0 0 0
    0.00 00046 0004 00181 -1173.21538 0.10000 0.94000 0 0 0
    0.00 00047 0004 00184 -1148.68745 0.10000 0.94000 0 0 0
    0.00 00048 0004 00181 -1131.77162 0.10000 0.94000 0 0 0
    0.00 00049 0004 00170 -1146.89830 0.10000 0.94000 0 0 0
    0.00 00050 0004 00180 -1157.60664 0.10000 0.94000 0 0 0
    0.00 00051 0004 00178 -1155.92566 0.10000 0.94000 0 0 0
    0.00 00052 0005 00174 -1154.14630 0.10000 0.94000 0 0 0
    0.00 00053 0005 00181 -1182.24780 0.10000 0.94000 0 0 0
    0.00 00054 0005 00193 -1168.56842 0.10000 0.94000 0 0 0
    0.00 00055 0005 00185 -1158.77482 0.10000 0.94000 0 0 0
    0.00 00056 0005 00192 -1178.30482 0.10000 0.94000 0 0 0
    0.00 00057 0004 00173 -1124.08146 0.10000 0.94000 0 0 0
    0.00 00058 0004 00172 -1119.14631 0.10000 0.94000 0 0 0
    0.00 00059 0004 00172 -1128.24995 0.10000 0.94000 0 0 0
    0.00 00060 0004 00191 -1175.12372 0.10000 0.94000 0 0 0
    0.00 00061 0004 00170 -1148.26497 0.10000 0.94000 0 0 0
    0.00 00062 0004 00178 -1141.05390 0.10000 0.94000 0 0 0
    0.00 00063 0003 00175 -1129.13627 0.10000 0.94000 0 0 0
    0.00 00064 0003 00176 -1137.22229 0.10000 0.94000 0 0 0
    0.00 00065 0003 00177 -1145.80668 0.10000 0.94000 0 0 0
    0.00 00066 0004 00183 -1164.06041 0.10000 0.94000 0 0 0
